"Country Code","Country Name","Gender","Date","Unemployement Rate","percent_change"
"AUS","Australia","All",2000-01-01,0.0677,0
"AUS","Australia","All",2000-02-01,0.0662,-0.0221565731166913
"AUS","Australia","All",2000-03-01,0.0657,-0.00755287009063424
"AUS","Australia","All",2000-04-01,0.0638,-0.0289193302891935
"AUS","Australia","All",2000-05-01,0.0642,0.00626959247648899
"AUS","Australia","All",2000-06-01,0.0612,-0.0467289719626167
"AUS","Australia","All",2000-07-01,0.0595,-0.0277777777777778
"AUS","Australia","All",2000-08-01,0.0605,0.0168067226890755
"AUS","Australia","All",2000-09-01,0.0596,-0.0148760330578512
"AUS","Australia","All",2000-10-01,0.0601,0.00838926174496645
"AUS","Australia","All",2000-11-01,0.0626,0.0415973377703827
"AUS","Australia","All",2000-12-01,0.0624,-0.00319488817891372
"AUS","Australia","All",2001-01-01,0.0614,-0.0160256410256411
"AUS","Australia","All",2001-02-01,0.065,0.0586319218241043
"AUS","Australia","All",2001-03-01,0.0646,-0.00615384615384612
"AUS","Australia","All",2001-04-01,0.0678,0.0495356037151702
"AUS","Australia","All",2001-05-01,0.0689,0.0162241887905605
"AUS","Australia","All",2001-06-01,0.0693,0.00580551523947747
"AUS","Australia","All",2001-07-01,0.0688,-0.00721500721500722
"AUS","Australia","All",2001-08-01,0.0688,0
"AUS","Australia","All",2001-09-01,0.0684,-0.00581395348837206
"AUS","Australia","All",2001-10-01,0.0719,0.0511695906432749
"AUS","Australia","All",2001-11-01,0.0688,-0.0431154381084841
"AUS","Australia","All",2001-12-01,0.0686,-0.00290697674418593
"AUS","Australia","All",2002-01-01,0.0691,0.00728862973760913
"AUS","Australia","All",2002-02-01,0.0654,-0.0535455861070911
"AUS","Australia","All",2002-03-01,0.0643,-0.0168195718654435
"AUS","Australia","All",2002-04-01,0.0635,-0.0124416796267495
"AUS","Australia","All",2002-05-01,0.0637,0.00314960629921269
"AUS","Australia","All",2002-06-01,0.065,0.0204081632653061
"AUS","Australia","All",2002-07-01,0.0618,-0.0492307692307694
"AUS","Australia","All",2002-08-01,0.0635,0.0275080906148868
"AUS","Australia","All",2002-09-01,0.0631,-0.00629921259842538
"AUS","Australia","All",2002-10-01,0.0613,-0.0285261489698889
"AUS","Australia","All",2002-11-01,0.0616,0.00489396411092988
"AUS","Australia","All",2002-12-01,0.0618,0.00324675324675311
"AUS","Australia","All",2003-01-01,0.0608,-0.0161812297734627
"AUS","Australia","All",2003-02-01,0.0596,-0.0197368421052632
"AUS","Australia","All",2003-03-01,0.0613,0.0285234899328859
"AUS","Australia","All",2003-04-01,0.0603,-0.0163132137030995
"AUS","Australia","All",2003-05-01,0.0607,0.00663349917081268
"AUS","Australia","All",2003-06-01,0.0606,-0.00164744645799028
"AUS","Australia","All",2003-07-01,0.0613,0.0115511551155117
"AUS","Australia","All",2003-08-01,0.0582,-0.0505709624796085
"AUS","Australia","All",2003-09-01,0.0578,-0.00687285223367693
"AUS","Australia","All",2003-10-01,0.0578,0
"AUS","Australia","All",2003-11-01,0.0566,-0.0207612456747405
"AUS","Australia","All",2003-12-01,0.0568,0.0035335689045935
"AUS","Australia","All",2004-01-01,0.0553,-0.0264084507042253
"AUS","Australia","All",2004-02-01,0.0564,0.0198915009041591
"AUS","Australia","All",2004-03-01,0.0544,-0.0354609929078013
"AUS","Australia","All",2004-04-01,0.0551,0.0128676470588234
"AUS","Australia","All",2004-05-01,0.0534,-0.0308529945553539
"AUS","Australia","All",2004-06-01,0.0546,0.0224719101123597
"AUS","Australia","All",2004-07-01,0.0555,0.0164835164835164
"AUS","Australia","All",2004-08-01,0.0552,-0.00540540540540544
"AUS","Australia","All",2004-09-01,0.0537,-0.0271739130434783
"AUS","Australia","All",2004-10-01,0.0512,-0.0465549348230912
"AUS","Australia","All",2004-11-01,0.0516,0.00781249999999995
"AUS","Australia","All",2004-12-01,0.0507,-0.0174418604651162
"AUS","Australia","All",2005-01-01,0.0507,0
"AUS","Australia","All",2005-02-01,0.0509,0.00394477317554238
